"Модуль","Код","Документ","Статус покрытия","checkId","Проверки","Ожидаемые поля","Требований Gemma/manual"
"Модуль 1","1.3.5","Макет вторичной (потребительской) упаковки лекарственного препарата; Макет первичной (внутренней) упаковки лекарственного препарата; Макет промежуточной упаковки лекарственного препарата; Макет этикетки лекарственного препарата; Макет стикера лекарственного препарата;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors","8"
"Модуль 1","1.3.6","Сравнительная таблица действующих общей характеристики лекарственного препарата и инструкции лекарственного препарата (листок-вкладыш)","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; document_expiry_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Срок действия документа","textContent; textLength; validUntil; issueDate; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors","11"
"Модуль 1","1.4.1","Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","1"
"Модуль 1","1.4.2","Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","3"
"Модуль 1","1.4.3","Краткая информация об образовании, обучении и профессиональном опыте в виде резюме с подписью эксперта.","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","2"
"Модуль 1","1.5.1","Письмо ДРУ/производителя о том, что лекарственный препарат содержит/не содержат генетически модифицированные организмы или получены из них. При наличии ГМО – сертификат от уполномоченного/компетентного органа страны-производителя Сертификат соответствия статье Европейской фармакопеи по губчатой энцефалопатии или СЕР или TSE/BSE выданный УО ветеринарного надзора страны происхождения сырья.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","4"
"Модуль 1","1.6","Письменное подтверждение держателем регистрационного удостоверения факта наличия уполномоченного лица, ответственного за фармаконадзор на территории Республики Казахстан; Приказ о назначении ответственного лица за фармаконадзор на территории Республике Казахстан; Резюме уполномоченного (контактного) лица за фармаконадзор на территории Республики Казахстан;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; pharmacovigilance_contact_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Фармаконадзор и контактное лицо","textContent; textLength","2"
"Модуль 1","1.6.1","Мастер-файл системы фармаконадзора держателя регистрационного удостоверения*; Краткая характеристика системы фармаконадзора держателя регистрационного удостоверения#, включающая в том числе: - декларацию, подписанную держателем регистрационного удостоверения о том, что он имеет систему фармаконадзора для выполнения задач и обязанностей по пострегистрационному контролю безопасности лекарственных средств, - ссылку на место (адрес), где хранится мастер-файл системы фармаконадзора - подтверждение того, что держатель регистрационного удостоверения имеет в своем распоряжении уполномоченное лицо за глобальный фармаконадзор; контактные данные уполномоченного лица за глобальный фармаконадзор,","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; pharmacovigilance_contact_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Фармаконадзор и контактное лицо; Согласованность ключевых полей","textContent; textLength","4"
"Модуль 1","1.6.2","Периодически обновляемый отчет по безопасности (ПСУР) с данными за последние 5 лет с переводом резюмирующей части на русский язык","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; pharmacovigilance_contact_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Фармаконадзор и контактное лицо","textContent; textLength","3"
"Модуль 1","1.6.3","План управления рисками на лекарственный препарат","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; pharmacovigilance_contact_check; black_triangle_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Фармаконадзор и контактное лицо; Дополнительный мониторинг; Согласованность ключевых полей","textContent; textLength; hasBlackTriangle","4"
"Модуль 1","1.6.4","Письменное подтверждение держателем регистрационного удостоверения факта наличия уполномоченного лица, ответственного за фармаконадзор на территории Республики Казахстан; Приказ о назначении ответственного лица за фармаконадзор на территории Республике Казахстан; Резюме уполномоченного (контактного) лица за фармаконадзор на территории Республики Казахстан;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; pharmacovigilance_contact_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Фармаконадзор и контактное лицо; Согласованность ключевых полей","textContent; textLength","4"
"Модуль 2","2.1.","Содержание частей 2.3.4.5","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","1"
"Модуль 2","2.3.S","Активная фармацевтическая субстанция","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.S.1","2.3.S.1 Общая информация","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","1"
"Модуль 2","2.3.S.2","2.3.S.2 Производство","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.S.3","Характеристика","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.S.4","Контроль активного вещества","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.S.5","Стандартные образцы или вещества","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.S.6","Система упаковка (укупорка)","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check; storage_consistency_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей; Условия хранения; Модуль 3 / качество","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.S.7","Стабильность","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; shelf_life_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Срок годности","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.Р","Лекарственный препарат","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.Р.1","Описание и состав лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","5"
"Модуль 2","2.3.Р.2","Фармацевтическая разработка","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.Р.3","Производство","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.Р.4","Контроль вспомогательных веществ","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.Р.5","Контроль лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.Р.6","Стандартные образцы или вещества","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.3.Р.7","Система упаковка (укупорка)","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check; storage_consistency_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей; Условия хранения; Модуль 3 / качество","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.Р.8","Стабильность","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; shelf_life_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Срок годности","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 2","2.3.А","Дополнения","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 2","2.3.А.1","Технические средства и оборудование","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","1"
"Модуль 2","2.3.А.2","Оценка безопасности относительно посторонних микроорганизмов","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 2","2.3.А.3","Новые вспомогательные вещества","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 2","2.4.","Обзор доклинических данных","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","4"
"Модуль 2","2.5.","Обзор клинических данных","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","3"
"Модуль 2","2.6.","Резюме по доклиническим данным","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","3"
"Модуль 2","2.6.1.","Резюме фармакологических данных в текстовом формате","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","4"
"Модуль 2","2.6.2.","Резюме фармакологических данных в виде таблиц","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","3"
"Модуль 2","2.6.3.","Резюме фармакокинетических данных в текстовом формате","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","3"
"Модуль 2","2.6.4.","Резюме фармакокинетических данных в виде таблиц","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","2"
"Модуль 2","2.6.5.","Резюме токсикологических данных в текстовом формате","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","3"
"Модуль 2","2.6.6.","Резюме токсикологических данных в виде таблиц","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","2"
"Модуль 2","2.7.","Резюме клинических данных","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","2"
